FBtr0113685	-1000	0	0	0	0
FBtr0304153	-1000	0	0	0	0
FBtr0113686	-1000	0	0	0	0
FBtr0112921	-1000	0	0	-0	0
FBtr0070088	-1000	0	0	-0	0
FBtr0307173	-1000	0	0	-0	0
FBtr0344738	-1000	0	0	-0	0
FBtr0344739	-1000	0	0	-0	0
FBtr0290017	-1000	0	0	-0	0
FBtr0344737	-1000	0	0	-0	0
FBtr0070087	-1000	0	0	-0	0
FBtr0070081	-1000	0	0	-0	0
FBtr0070086	-1000	0	0	-0	0
FBtr0343792	-1000	0	0	-0	0
FBtr0343793	-1000	0	0	-0	0
FBtr0290016	-1000	0	0	-0	0
FBtr0070084	-1000	0	0	-0	0
FBtr0340146	-1000	0	0	-0	0
FBtr0070085	-1000	0	0	-0	0
FBtr0070080	-1000	0	0	-0	0
FBtr0340145	-1000	0	0	-0	0
FBtr0070092	-1000	0	0	-0	0
FBtr0070093	-1000	0	0	-0	0
FBtr0346791	-1000	0	0	-0	0
FBtr0070079	-1000	0	0	-0	0
FBtr0070094	-1000	0	0	-0	0
FBtr0343501	-1000	0	0	-0	0
FBtr0070078	-1000	0	0	-0	0
FBtr0336920	-1000	0	0	-0	0
FBtr0336921	-1000	0	0	-0	0
FBtr0301337	-1000	0	0	-0	0
FBtr0339441	-1000	0	0	-0	0
FBtr0070095	-1000	0	0	-0	0
FBtr0300328	-1000	0	0	-0	0
FBtr0070077	-1000	0	0	-0	0
FBtr0336919	-1000	0	0	-0	0
FBtr0070076	-1000	0	0	-0	0
FBtr0112947	-1000	0	0	-0	0
FBtr0070097	-1000	0	0	-0	0
FBtr0339443	-1000	0	0	-0	0
FBtr0339442	-1000	0	0	-0	0
FBtr0070098	-1000	0	0	-0	0
FBtr0070099	-1000	0	0	-0	0
FBtr0070075	-1000	0	0	-0	0
FBtr0070100	-1000	0	0	-0	0
FBtr0070074	-1000	0	0	-0	0
FBtr0070073	-1000	0	0	-0	0
FBtr0342970	-1000	0	0	-0	0
FBtr0342969	-1000	0	0	-0	0
FBtr0342967	-1000	0	0	-0	0
FBtr0342968	-1000	0	0	-0	0
FBtr0070072	-1000	0	0	-0	0
FBtr0308354	-1000	0	0	-0	0
FBtr0303213	-1000	0	0	-0	0
FBtr0308360	-1000	0	0	-0	0
FBtr0308359	-1000	0	0	-0	0
FBtr0308358	-1000	0	0	-0	0
FBtr0308357	-1000	0	0	-0	0
FBtr0308356	-1000	0	0	-0	0
FBtr0308355	-1000	0	0	-0	0
FBtr0070071	-1000	0	0	-0	0
FBtr0306055	-1000	0	0	-0	0
FBtr0306054	-1000	0	0	-0	0
FBtr0344149	-1000	0	0	-0	0
FBtr0070068	-1000	0	0	-0	0
FBtr0070067	-1000	0	0	-0	0
FBtr0342962	-1000	0	0	-0	0
FBtr0273442	-1000	0	0	-0	0
